id,name,street_address,post_code,num_chairs,category
151,Barburrito,62 The Headrow,LS1 8EQ,8,ls1 small
153,Becketts Bank (Wetherspoons),28 - 30 Park Row,LS1 5HU,6,ls1 small
155,BHS,49 Boar Lane,LS1 5EL,6,ls1 small
171,"Greggs, Briggate","Unit, 7 Central Arcade",LS1 6DX,4,ls1 small
178,Las Iguanas,3 Cloth Hall St,LS1 2HD,4,ls1 small
188,Patisserie Valerie,50A Albion Street,LS1 6AD,8,ls1 small
201,Safran,81 Kirkgate,LS2 7DJ,6,ls2 small
202,San Co Co,12 New Briggate,LS1 6NU,6,ls1 small
203,Sandinista,5 Cross Belgrave Street,LS2 8JP,18,ls2 small
206,Souvlaki restaurant and Bar,18 Great George Street,LS1 3DW,6,ls1 small
208,"Starbucks, Briggate",80 Briggate,LS1 6LQ,2,ls1 small
209,"Starbucks, Headrow",13 The Headrow,LS1 8EQ,8,ls1 small
219,Zizzi Restaurant,2 Cloth Hall Street,LS1 2HD,6,ls1 small
